t,press,temp,fm,ax,ay,az,avx,avy,avz,q0,q1,q2,q3,ax,ay,az,vx,xy,vz,x,y,z
0.800319,1020.030029,56.408333,0, -0.043071,-10.006784,-0.172283, 0.029031,-0.003196,0.011719, 0.000000,1.000000,0.000000,0.000000, -0.043071,0.200785,0.172283, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.810319,1020.064697,56.404167,0, -0.071785,-10.011570,-0.114855, 0.028764,-0.004261,0.014116, 0.000000,1.000000,0.000000,0.000000, -0.071785,0.205570,0.114855, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.820319,1020.064697,56.404167,0, -0.081356,-10.021141,-0.153141, 0.030096,-0.001065,0.010653, 0.000000,1.000000,0.000000,0.000000, -0.081356,0.215141,0.153141, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.830321,1020.064697,56.404167,0, -0.119641,-10.045069,-0.186640, 0.025036,0.001332,0.011985, 0.000000,1.000000,0.000000,0.000000, -0.119641,0.239069,0.186640, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.840321,1020.064697,56.404167,0, -0.114855,-10.011570,-0.110070, 0.028498,-0.001864,0.010920, 0.000000,1.000000,0.000000,0.000000, -0.114855,0.205570,0.110070, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.850321,1020.138428,56.408333,0, -0.047856,-10.035498,-0.071785, 0.025835,0.001864,0.007990, 0.000000,1.000000,0.000000,0.000000, -0.047856,0.229498,0.071785, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.860321,1020.138428,56.408333,0, -0.119641,-10.011570,-0.071785, 0.027166,0.003995,0.013051, 0.000000,1.000000,0.000000,0.000000, -0.119641,0.205570,0.071785, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.870322,1020.138428,56.408333,0, -0.119641,-10.011570,-0.138784, 0.027166,-0.003462,0.009322, 0.000000,1.000000,0.000000,0.000000, -0.119641,0.205570,0.138784, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.880322,1020.138428,56.408333,0, -0.105284,-9.949356,-0.119641, 0.032759,0.002131,0.009055, 0.000000,1.000000,0.000000,0.000000, -0.105284,0.143356,0.119641, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
0.890323,1020.128662,56.408333,0, -0.143569,-10.001998,0.004786, 0.025835,-0.001598,0.011186, 0.000000,1.000000,0.000000,0.000000, -0.143569,0.195998,-0.004786, 0.000000,0.000000,0.000000, 0.000000,0.000000,0.000000
